Date,Symbol,Order,Shares,Price
2008-02-28,IBM,SELL SHORT,100,106.24
2008-03-27,IBM,EXIT SHORT,100,106.49
2008-04-22,IBM,SELL SHORT,100,114.01
2008-05-21,IBM,EXIT SHORT,100,114.43
2008-07-01,IBM,BUY LONG,100,110.4
2008-07-08,IBM,EXIT LONG,100,114.67
2008-07-21,IBM,SELL SHORT,100,119.09
2008-08-11,IBM,EXIT SHORT,100,117.64
2008-08-21,IBM,BUY LONG,100,114.29
2008-09-19,IBM,EXIT LONG,100,110.44
2008-10-10,IBM,BUY LONG,100,81.54
2008-10-30,IBM,EXIT LONG,100,84.27
2008-11-21,IBM,BUY LONG,100,69.97
2008-12-03,IBM,EXIT LONG,100,75.38
2009-01-07,IBM,SELL SHORT,100,82.03
2009-01-14,IBM,EXIT SHORT,100,77.74
2009-01-22,IBM,SELL SHORT,100,84.16
2009-02-17,IBM,EXIT SHORT,100,85.19
2009-02-24,IBM,BUY LONG,100,81.17
2009-02-27,IBM,EXIT LONG,100,86.46
2009-03-25,IBM,SELL SHORT,100,92.03
2009-04-27,IBM,EXIT SHORT,100,93.9
2009-04-30,IBM,SELL SHORT,100,96.97
2009-05-08,IBM,EXIT SHORT,100,95.85
2009-06-02,IBM,SELL SHORT,100,100.89
2009-06-18,IBM,EXIT SHORT,100,100.42
2009-07-08,IBM,BUY LONG,100,95.08
2009-07-15,IBM,EXIT LONG,100,101.26
2009-07-22,IBM,SELL SHORT,100,109.15
2009-08-17,IBM,EXIT SHORT,100,110.88
2009-09-03,IBM,BUY LONG,100,110.38
2009-09-11,IBM,EXIT LONG,100,112.01
2009-09-18,IBM,SELL SHORT,100,115.86
2009-09-29,IBM,EXIT SHORT,100,112.73
2009-10-15,IBM,SELL SHORT,100,121.43
2009-10-16,IBM,EXIT SHORT,100,115.42
2009-12-14,IBM,SELL SHORT,100,123.83
2009-12-17,IBM,EXIT SHORT,100,121.42
2009-12-29,IBM,SELL SHORT,100,125.66
