Date;Symbol;Order;Shares;Price;
11/02/2008;IBM;BUY;10;96.92;
25/02/2008;IBM;SELL;10;101.48;45.6
01/04/2008;IBM;BUY;10;107.39;
16/04/2008;IBM;SELL;10;111.06;36.7
22/05/2008;IBM;BUY;10;115.43;
18/07/2008;IBM;SELL;10;120.23;48
19/09/2008;IBM;BUY;10;110.44;
06/01/2009;IBM;SELL;10;83.38;-270.6
16/01/2009;IBM;BUY;10;79.35;
21/01/2009;IBM;SELL;10;85.43;60.8
27/02/2009;IBM;BUY;10;86.46;
23/03/2009;IBM;SELL;10;92.74;62.8
28/04/2009;IBM;BUY;10;95.77;
29/04/2009;IBM;SELL;10;97.75;19.8
11/05/2009;IBM;BUY;10;97.18;
01/06/2009;IBM;SELL;10;102.35;51.7
15/07/2009;IBM;BUY;10;101.26;
16/07/2009;IBM;SELL;10;104.49;32.3
19/08/2009;IBM;BUY;10;112.5;
16/09/2009;IBM;SELL;10;115.59;30.9
30/09/2009;IBM;BUY;10;113.49;
09/10/2009;IBM;SELL;10;119.49;60
19/10/2009;IBM;BUY;10;116.76;
10/12/2009;IBM;SELL;10;123.27;65.1
18/12/2009;IBM;BUY;10;121.91;
28/12/2009;IBM;SELL;10;126.1;41.9
;;;;;285
